topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
5.79679290294723e-07,6.340607745976232e-13,0.0,0.0,1.1543619744415369e-23,0.03169023005953381,0.0,0.14827978769178643,1.465592965448871e-12,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199661365645236,1.705498070325076e-21,0.029752131289580395
0.04763000967113194,3.7169714717794627e-06,0.0,0.0,0.0,1.6830821657110567e-56,0.03376666160851984,0.10454205174058503,1.9049554416127075e-21,0.0
0.17816142507772625,7.013255899613578e-05,4.9017638210382916e-14,0.0,1.3829155893413723e-06,4.43396013815108e-18,0.0,0.0697025893528787,0.0,0.0
0.0,2.405417672996623e-10,0.0,0.0,0.0,0.03594762367858933,5.726717752555642e-15,1.3725467620889403e-22,0.11478916140130216,0.0
0.0,3.969876550641379e-09,0.0,0.0,0.0,0.0,2.0660250925798527e-202,1.0005072109936923e-07,0.12545577198113994,4.877731170299711e-14
0.0,3.70706361966301e-09,1.5359132911684768e-267,0.018218092429304528,0.030061050163239816,0.0,0.0,4.502889559403738e-07,0.0,0.17085596836020422
0.0,0.08309206835421945,0.0,0.026403448731373458,4.3771112189856496e-13,0.0,0.0,0.05151849160030568,1.5668383912218631e-18,9.150585207525228e-22
1.8867727435896444e-20,0.11371049883472763,0.0,0.0,0.0,1.0187064028420125e-07,0.0,4.6818289337619074e-07,0.03410351421490939,1.9162602453111427e-23
0.0,0.13246532243071088,0.027448505849617968,3.066891998827842e-15,7.107774455854082e-22,0.0,4.538732149853665e-22,0.041381369027934635,1.2257258318380803e-05,1.6181250125757565e-33
0.0,1.675842716041019e-25,1.154801794573249e-39,3.1939748021619836e-25,0.02018140979120812,1.6058142098891903e-07,2.410464626140459e-09,3.2812772468071414e-30,0.16772006922402327,0.0038519659050359496
0.0,0.0,0.0,0.0,0.0,0.1488597540614815,0.0,0.0,0.0,0.0
0.0,1.9756937157115885e-15,0.0,0.0,2.1288906046356721e-256,0.158772860576342,2.5457588717931985e-25,5.0954164105208644e-210,0.0,0.0
0.0,5.755415190493226e-26,0.0,0.0,0.0,0.0,0.0,1.4252577680662066e-07,0.08846430723339814,0.0
0.0,4.0502281994203496e-17,2.2843718677130244e-241,9.292890458159364e-12,0.1480350552577343,8.567745927917404e-22,0.0,0.0,0.0008886052740469072,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.30887921294668e-08,0.006261299553337998,0.11818876338163592,0.0
1.1864754334435232e-14,0.0,0.0,0.0,5.128030873441365e-11,0.21195656499204302,0.0,5.602702309939482e-12,0.0,0.0
0.0,7.08488824016562e-05,0.0,7.621408029104964e-29,0.0,4.332651478580269e-31,1.0694069554682045e-10,0.17572829685446636,0.0,0.02209975999771119
7.228960808374999e-15,0.0,0.0,0.0,0.0,7.280525152952198e-60,0.0,0.15882049816664243,0.0,0.0
0.0,3.053793032752497e-06,0.0,0.0,0.0,0.0,0.13878831441353284,2.372819616519927e-22,0.0,8.33748246688629e-07
0.0,0.08071976248073207,0.07354915452389063,0.0,0.0,3.7227311093118983e-20,0.0,0.0,3.7485702749512725e-12,0.0
0.0,0.12382555158758264,6.975360438567334e-15,0.030357985626685503,9.00276180632603e-22,0.0,2.439166735934018e-09,7.546489267015153e-08,1.1147340320103447e-10,5.797123995485509e-18
0.0,0.05451872759337649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.031984514237449566,0.0,0.0,3.5748936530230283e-06,1.5304793099561288e-12,0.0,0.0,0.07231532117306043,0.0
0.0,0.0,0.0,0.0,1.9627306319462593e-20,0.0,0.0,0.0,0.0,0.13668143093968607
0.0,3.192703209979954e-16,0.0,0.12069049159514003,6.320279424981924e-12,0.03644265231606475,0.0,0.0,0.0,7.394243782469365e-14
0.0,0.08608337918171705,1.1786515676525556e-269,0.0,5.642243524742749e-22,0.0,0.041890079043900755,3.644539603379407e-36,2.3256420952024955e-34,0.08256620251547125
0.0,0.0,0.0,0.041681714290494006,0.0,0.0,0.0,0.0,0.0,0.09635836378128977
0.0,3.0884952318877896e-18,1.5675794814839342e-261,0.0,0.0,0.0,2.398354236080192e-16,0.0,0.0,0.13544234531946597
0.0,8.144108592535419e-23,0.0,0.11878001792100451,0.025413726683968303,0.0,0.03572102810805547,0.0,1.03947503369715e-18,0.0
0.0,4.500833543290518e-12,0.0,1.430977902002736e-15,6.60101175091436e-10,0.08812149072587348,2.3870930900118893e-19,9.38599503485764e-13,0.1134817609968959,1.0694969327674215e-12
0.0,0.06799898002215138,0.0,0.0,0.0731996285530251,0.0,2.0176253922113056e-12,0.0,3.0718185162083926e-293,0.0
0.0,0.08548727113546992,0.0,0.0,0.0,3.3649433538354188e-155,0.0,5.424014851419402e-32,0.007545991398861773,0.0
0.0,0.09414103095660559,0.0033874100377572513,0.0,1.5620447126008166e-06,4.781125053361811e-06,0.0,0.0,0.0,0.03677638070654141
0.0,0.15354687936406575,0.0,0.0,0.0,0.0,5.753942861324426e-14,0.0,7.529391356453304e-21,1.1129242477197307e-303
0.0,0.15179862880499564,0.0,0.0,0.0,3.077759122021087e-23,0.0,3.8261795829481394e-42,3.061083702781585e-18,4.682813080546171e-10
0.0,0.0,0.0,2.2073633140311936e-291,4.936678956000928e-10,1.6021167637182772e-11,0.11036058336223377,5.433337178235796e-16,0.03938263969611208,2.902064676244285e-20
0.0,0.1331887847559848,1.8342569182224225e-13,0.0,5.1580054891235487e-138,0.0,0.0,1.2461279341275702e-13,0.0,3.4738853417465063e-25
0.0,0.11696977592614466,0.0,0.0,0.0,0.0,0.0,0.043610858051834366,2.201971564060834e-14,3.435380642642013e-05
1.7717901967056318e-12,0.1434279751508242,0.0,0.0,0.0,0.030790322743752215,6.569762506935106e-15,0.0,2.0252087224708493e-09,9.427254493388772e-304
