topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
3.2590933959263526e-18,6.608596763439986e-16,0.0,0.0,1.9213260694525974e-50,0.03163650575908009,0.0,0.15021483384367035,1.6566954761884315e-25,0.0
0.0,0.0,0.0,0.0,6.235284416832783e-42,0.0,4.706494362803908e-15,0.1215637592514715,0.0,0.03144206591707106
0.03772574861126293,0.021943019478966794,0.0,7.656505481567166e-80,0.0,0.0,0.06011956300648652,0.0639132082752164,0.0,0.0
0.12275021180188922,1.3176528271537406e-31,7.346316832320411e-31,2.613320677227036e-80,0.024193439112082226,1.8790998919800598e-249,0.0,0.06319754402919314,0.0,0.0
0.0,0.050304515852039065,0.0,0.0,0.0,0.03588668369108605,0.0,8.267862704523169e-29,0.05704312716106696,0.0
0.0,9.688562022204298e-13,0.0,4.609463128814175e-23,0.0,0.0,1.1710770097553719e-79,2.2373918792977398e-11,0.1251974158973446,0.0
0.0,0.043073027487502615,0.0,0.01804115355701789,0.03054765627780869,0.0,0.0,3.4280809531127544e-24,0.0,0.11555525496960879
0.0,0.08401983977373555,0.0,0.026147021024011948,4.786506149440534e-22,0.0,0.0,0.05219089172471665,0.0,6.313514913684644e-39
1.4789310012035858e-238,0.0802658642069943,0.0,0.0,0.0,2.9397622890219996e-259,1.2367593927294255e-52,1.5069901625150602e-22,0.07373190118310939,4.919367319565573e-39
0.0,0.11909239649854869,0.02638713982373982,7.245787599783538e-30,8.21808796445027e-23,8.743299054769379e-234,3.3239452989934803e-41,0.05971754757348768,1.0739422179221075e-09,5.2655286611305214e-64
0.0,2.3977583332846974e-53,6.293965182036568e-23,0.0,0.020506949698724672,0.00020457166414842732,1.4082425383965503e-42,2.4072883730438216e-47,0.17030073439978669,1.6609484496185285e-186
0.0,0.0,0.0,0.0,0.0,0.14860760380642152,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1585039377542942,1.6407856976594395e-39,1.0668915102829864e-19,0.0,0.0
