topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
6.056060643175133e-09,0.0007364538278054153,0.0,5.47860697059761e-204,0.0,0.0,0.002731458251303608,0.012492876778879142,6.62789259160318e-09,0.0
2.5505936105436437e-124,4.2746755069332353e-07,1.5126155999665925e-180,0.0,8.956540173644311e-240,1.2146428390892082e-12,0.0,0.018749705909755235,5.52826236075087e-07,0.0
1.0303376175339545e-11,2.8602575788113198e-96,0.0,1.0447709427527116e-07,0.0,0.0,2.4630898769510494e-20,1.3302522392489023e-229,9.377195123722681e-21,0.0
7.3824322116024646e-09,4.922266104861947e-07,1.1042629241614387e-54,6.322983885887514e-10,5.907901255305211e-23,1.710698566311429e-19,6.982920773691922e-108,1.7349116004577037e-09,2.833558074526231e-303,0.0
0.0,0.0011496882755502541,0.0,1.4768221047044373e-111,0.0,0.0,0.004046128458363147,0.0,0.006132612486663911,0.0
0.0,3.1589354832162233e-18,1.433791721150024e-309,0.0,0.0,0.0,3.334779445266194e-08,2.689293158342267e-293,0.024969742195190662,0.0
0.0,0.04546471356899323,1.269756084497556e-16,0.08426462446330751,0.0004192640084139419,2.1218437779748353e-104,0.0,4.394231510894743e-21,0.0008522622428327031,0.0
0.0,7.388912786227781e-09,1.3285759128897495e-18,0.02967627011898745,1.504611801343048e-10,0.0,0.0,2.6452896217169096e-53,5.920237171453418e-224,0.0
0.0,0.0004879950114303786,1e-323,1.1666866088075486e-05,0.0,0.0,4.197622396701377e-291,1.1123069920486954e-26,0.04480858374430615,0.0
0.0,0.0018989584472212954,0.0,2.7465484500749027e-15,7.16785043037691e-13,0.0,3.935088351117977e-15,1.124314864484061e-06,7.973686014463466e-09,0.0
0.0,0.0012870334058268653,7.084249834585138e-193,3.020823462022856e-06,0.005047186859492857,5.442118664162084e-170,0.0,8.501298985498657e-08,0.05294418384964945,0.0
0.0,0.0,0.0,7.551316708182601e-19,1.1950285960551896e-77,0.22042969605898216,0.0,0.0,3.604222646453659e-257,0.0
0.0,3.6456957868509976e-47,0.0,3.1429625840443244e-170,3.924912216303355e-80,0.13290838758943727,0.0,1.693166991399927e-14,2.119923274313259e-260,0.0
0.0,1.1854838352119197e-124,3.2757250665551934e-142,1.1830717802323594e-07,0.0,0.0,0.0,7.440339976291359e-07,0.0005214550902453907,0.0
0.0,1.5939558303888632e-09,3.4336673662732257e-09,0.009159037269161471,0.04153524144813947,1.5066955362400057e-07,0.0,0.0,0.0019824739359829606,0.0
0.0,2.670057869913468e-19,8.648448950848764e-197,5.9047523923926784e-154,0.0,0.0,0.0,0.019461437947281387,0.17597939118315128,0.0
4.726999650213667e-31,8.907701855612393e-54,0.0,2.986418309233873e-169,2.4178640361475374e-79,0.15306872670044838,0.0,3.4100487330434587e-12,1.9320235628361874e-259,0.0
2.1640282258960933e-126,0.015463931854482384,4.565074613328658e-19,0.00029697383396744834,6.231247996864629e-242,1.0206983436426804e-14,6.500094163004295e-26,0.02071697274513265,8.916972792172616e-10,0.0
1.000496876826416e-14,1.9747915022891782e-14,0.0,2.1238300453749335e-09,0.0,0.0,2.1848118997076e-107,0.012687268546290466,8.082999878030115e-303,0.0
0.0,0.011454387862925195,0.0,0.0,0.0,0.0,8.899190723848835e-18,8.769510829712039e-68,0.0,0.0
0.0,0.01086958490882358,1.457324783640783e-30,2.909845897097576e-07,2.2718019916251083e-294,4.73468046970523e-168,0.0,1.2168454658825793e-56,0.04202462196693135,0.0
0.0,0.0010062296630507365,1.597613651751042e-54,0.0008050925863186189,6.190305732158208e-10,0.0,0.0,1.535792321218756e-09,8.59323787727762e-06,0.0
0.0,5.0983699699971217e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0007152004160968301,0.0,8.213118647111643e-13,1.50400508346993e-209,2.27018082872806e-06,0.0,0.0,0.004154329557055025,0.0
0.0,0.0,0.0,8.498218786119444e-31,0.0010564013516747022,0.0,0.0,0.0,1.5529907996517941e-29,0.0
