topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
1.3700567464308172e-35,aircraft,1.3547990110983025e-32,aircraft,1.9871098039708508e-33,aircraft,4.230244192836198e-07,aircraft,1.676798878649794e-33,aircraft,1.991999775711475e-33,aircraft,4.5248710056366555e-34,aircraft,4.189318671159263e-31,aircraft,4.423047353401369e-16,aircraft,3.651558813795069e-33,aircraft
2.930636289687877e-35,airlines,2.792757415789446e-32,airlines,1.9196358218948467e-33,airlines,0.02903787223317681,airlines,2.4175511765441244e-33,airlines,1.9744945953091584e-33,airlines,1.968880297798532e-33,airlines,0.005106167025243863,airlines,2.0756552493639175e-33,airlines,5.393985072529161e-33,airlines
0.003847778750975425,al,4.7702852811188755e-33,al,1.987401658853166e-33,al,6.005119039780099e-33,al,4.333792612221286e-34,al,1.9875283188392115e-33,al,5.732687901159631e-34,al,2.707784871033298e-21,al,1.2293810706952923e-33,al,1.8847515884067513e-33,al
0.024329302723575766,albert,8.826003186147705e-34,albert,1.9871308629025204e-33,albert,1.9889011049909962e-33,albert,7.252965816381021e-34,albert,1.9865760971668266e-33,albert,7.0882822102030576e-34,albert,2.2420161314361226e-34,albert,2.711820405506946e-33,albert,1.4434957633714161e-33,albert
0.010990432937293407,alexander,3.3808251087362895e-33,alexander,1.9870250745426935e-33,alexander,1.9783036856915994e-33,alexander,2.4207575624090276e-32,alexander,0.019799068416708192,alexander,1.944475475437857e-33,alexander,7.765473550362227e-34,alexander,1.963890513291709e-33,alexander,1.6510868583708367e-33,alexander
1.3907444757807526e-34,alien,6.1265771862679574e-30,alien,1.9715347941424453e-33,alien,0.005809494984309429,alien,0.0008164317448638717,alien,0.0033860672328231674,alien,2.774100529278172e-06,alien,2.3507518601594227e-31,alien,9.699204193497007e-26,alien,1.9995902261611642e-33,alien
2.7057292283749283e-35,aliens,0.0026489998859156633,aliens,1.925937205739968e-33,aliens,1.0127967091927282e-08,aliens,1.734902783026222e-32,aliens,0.014559664043903976,aliens,0.01706611047828202,aliens,0.019971043919414472,aliens,1.7845260724686191e-12,aliens,3.137333702248238e-32,aliens
1.3060261122435147e-34,alive,1.2942908711166541e-30,alive,1.960407281748132e-33,alive,1.3197582008139471e-25,alive,0.002524934810525282,alive,1.995251894825686e-33,alive,8.582067308335237e-23,alive,7.672021510399575e-33,alive,0.010098076128725274,alive,2.0051057106699776e-33,alive
8.61876294688738e-36,allowed,5.36321801563527e-32,allowed,1.9873884652719967e-33,allowed,4.215269736556095e-10,allowed,1.6819930158784903e-33,allowed,4.742687444469159e-31,allowed,1.9869497023552445e-33,allowed,1.9897909957446318e-33,allowed,2.2400928041311956e-33,allowed,1.036028099140016e-33,allowed
2.082253119432551e-34,america,5.6874658340044576e-30,america,8.569509410658547e-33,america,2.2744301030845703e-30,america,3.8486677568030405e-33,america,1.0925397102158611e-29,america,6.430169057531262e-33,america,0.00623870578990874,america,7.369403589139752e-32,america,1.9908151478718723e-33,america
3.37220984778659e-33,american,0.08812882247444638,american,0.008684943091606168,american,0.08312383852224103,american,1.5545167443177215e-33,american,5.1465426959843975e-28,american,3.142163934303026e-32,american,0.08709478336583011,american,2.0398342303269348e-24,american,2.057645848062366e-33,american
1.2438406535599206e-34,americans,1.4643856199841698e-06,americans,1.64894776212856,americans,6.999212038366925e-14,americans,1.712130810621686e-17,americans,6.808981727979096e-32,americans,1.4707976015139407e-10,americans,8.791219659125475e-12,americans,8.489436961630838e-09,americans,6.818455037572795e-32,americans
4.2440010551909034e-36,ancient,1.1081769009114912e-32,ancient,1.9590569378667565e-33,ancient,1.2602664273899375e-23,ancient,3.536180065954757e-33,ancient,8.001087800817728e-34,ancient,1.342617388462759e-33,ancient,1.931451144936349e-33,ancient,0.020022458186217458,ancient,1.0287977599248379e-32,ancient
3.5197704772748594e-36,animal,8.690133511539921e-33,animal,1.731429927705579e-33,animal,1.529639923549558e-33,animal,3.3342639243659796e-33,animal,1.796250817795006e-33,animal,1.4782152717908502e-33,animal,6.09997646906851e-34,animal,1.559202591308564e-30,animal,1.9908197029259615e-33,animal
4.5850515851500495e-35,animals,0.01119116616162323,animals,1.9374936262836083e-33,animals,8.893921629624999e-29,animals,0.0004365492523623453,animals,5.613955445911982e-32,animals,8.61287649573102e-22,animals,1.3882735479838374e-28,animals,1.2648961657858976e-29,animals,1.9943155170876478e-33,animals
5.974399289577811e-35,anti,1.735297330320535e-31,anti,1.9395887780452424e-33,anti,0.020338266938874843,anti,1.0839251154569192e-32,anti,4.139746538685203e-12,anti,0.0034077158921510713,anti,1.2512572312716944e-29,anti,1.1070846797223798e-20,anti,4.41237711987713e-34,anti
5.8599402909761886e-36,ape,0.001913151888324238,ape,1.9784633907158957e-33,ape,1.973306085220101e-33,ape,2.1430581978385785e-33,ape,8.349036126586763e-22,ape,1.98580528792001e-33,ape,6.773301934535899e-33,ape,4.454954250316188e-33,ape,1.9888453767048957e-33,ape
