index,top_topic_name_1,top_topic_weight_1,top_topic_name_2,top_topic_weight_2,top_topic_name_3,top_topic_weight_3
0,topic_5,49.038416375628984,topic_1,40.960077796823754,topic_3,1.2506280911286307
1,topic_6,84.9991504505101,topic_1,1.6670989682239508,topic_8,1.6669323969816008
2,topic_2,87.14083130984086,topic_10,1.4290345100978605,topic_5,1.4289677145994104
3,topic_9,88.7489525264729,topic_4,1.2502531024886907,topic_5,1.2502247173007206
4,topic_9,84.99764958598398,topic_8,1.6672983491210611,topic_3,1.6672816084682212
5,topic_3,81.9987501614979,topic_9,2.0006548536615405,topic_1,2.0003735207235005
6,topic_8,89.99892479079261,topic_2,1.1117077831515008,topic_3,1.1112257723971106
7,topic_3,88.74861221457824,topic_5,1.2504786548407807,topic_2,1.2502811926910706
8,topic_6,88.7491151052014,topic_1,1.2505649955442306,topic_2,1.2501859202183108
9,topic_5,93.57113875894092,topic_10,0.7143657604478103,topic_2,0.7143578476566003
10,topic_10,90.99823510663327,topic_3,1.0005333743619005,topic_9,1.0003871039411805
11,topic_9,52.530118883604366,topic_4,27.46981424881774,topic_3,2.5000488237901113
12,topic_4,84.99979172250427,topic_2,1.6667481079508908,topic_8,1.6667109551226105
13,topic_5,69.99864985339975,topic_6,3.334119648866912,topic_7,3.333752669862822
14,topic_1,81.99881565184623,topic_2,2.000755305864271,topic_3,2.0001509613524613
15,topic_3,81.99813080769216,topic_5,2.000848958553961,topic_8,2.000328486638431
16,topic_4,87.14132973394658,topic_9,1.4293914496756104,topic_3,1.4288631942458805
17,topic_6,90.99906243460565,topic_1,1.0004189673901909,topic_8,1.000154073292841
18,topic_5,87.14258494922686,topic_4,1.4286553597862905,topic_1,1.4286358047426204
19,topic_10,77.49847250063584,topic_1,2.5009279928609214,topic_2,2.5004498717531214
20,topic_2,84.99945691351161,topic_3,1.6668253354915112,topic_6,1.666791698283561
21,topic_8,88.74869202687528,topic_2,1.2504076940278204,topic_3,1.2503548842924104
22,topic_10,54.99928515147785,topic_2,5.000682584363942,topic_8,5.000012868821363
23,topic_1,51.791016426441054,topic_9,28.20763219013675,topic_3,2.500415464257391
24,topic_2,77.49903218453998,topic_6,2.5004398763215008,topic_5,2.5002734859775506
25,topic_1,84.99845045969471,topic_4,1.6671171514876104,topic_3,1.6668967098546306
26,topic_2,93.07646349358362,topic_9,0.7694132687501402,topic_1,0.7693286862332401
27,topic_3,39.09534735706873,topic_7,25.031555203920533,topic_2,18.37245950524895
28,topic_6,77.4958799667046,topic_9,2.5014621982316214,topic_2,2.5014188747996315
29,topic_10,84.99802824075928,topic_1,1.6676684429492104,topic_4,1.6671428348702404
30,topic_2,76.67949822340766,topic_6,14.42995771310626,topic_3,1.1115125433656807
31,topic_3,84.99850917776185,topic_2,1.6672887025544407,topic_1,1.6669930739938605
32,topic_6,77.49729744568486,topic_1,2.5013329738743706,topic_2,2.5009174489690107
33,topic_1,84.99822339296499,topic_2,1.6675804803648608,topic_3,1.6670622094569307
34,topic_2,89.99901509681307,topic_9,1.1114730351241806,topic_4,1.1113556139774707
35,topic_2,89.99905256605919,topic_9,1.1115149457505806,topic_6,1.1113698091152706
36,topic_8,81.99848433217355,topic_10,2.0007027736375815,topic_4,2.000340015674661
37,topic_9,58.87785350962849,topic_1,29.69278634278088,topic_6,1.4287855850885205
38,topic_9,89.99920494704837,topic_3,1.1115305885191507,topic_8,1.1112901479032207
39,topic_2,90.9992791657755,topic_9,1.0003275547188104,topic_5,1.0001664687149106
40,topic_4,90.9982018039691,topic_3,1.0007667428986802,topic_2,1.0001695123773802
41,topic_9,89.99897880529095,topic_2,1.1114446731644505,topic_7,1.1112624145050003
42,topic_2,53.79966010357922,topic_9,37.310740429874954,topic_1,1.1113489543550803
43,topic_9,87.14236446837326,topic_1,1.4287135282418608,topic_2,1.428704421692501
44,topic_9,83.36158038714039,topic_1,8.636665260382374,topic_8,1.0006467595501305
45,topic_2,52.87927887428386,topic_10,37.11764548753523,topic_7,1.2505977293563306
46,topic_3,87.14203002219398,topic_2,1.4290128139518705,topic_1,1.4287753849322506
47,topic_6,87.14100501480722,topic_1,1.4291145522685504,topic_8,1.4289809004481904
48,topic_2,88.74937055130346,topic_1,1.2502722524546508,topic_3,1.2501988142400706
49,topic_3,91.8170131049278,topic_1,0.9095679303465104,topic_9,0.9094078699256104
50,topic_2,87.74763219663119,topic_4,6.537557157917482,topic_3,0.7146539026714304
51,topic_3,93.57042803302178,topic_4,0.7146849349213003,topic_2,0.7145862428835702
52,topic_1,77.4991444675387,topic_2,2.5002415804862514,topic_4,2.5002311773019414
53,topic_3,45.29581184316007,topic_8,41.36826904785125,topic_6,1.6676514492197607
54,topic_2,84.9995598525076,topic_1,1.6668995911126405,topic_6,1.6667710752624707
55,topic_2,44.477256380681816,topic_4,44.093750322388885,topic_1,1.4287988018005904
56,topic_2,87.14053465572664,topic_6,1.4293868446076405,topic_1,1.4293079840074705
57,topic_10,54.998981429248204,topic_1,5.000630235697453,topic_5,5.000371203264243
58,topic_10,87.14200532041868,topic_2,1.428940553134541,topic_5,1.4287742206710907
59,topic_9,84.99877526623875,topic_4,1.6672505051061906,topic_10,1.666933058645211
60,topic_1,72.82843529034258,topic_5,13.837848303294605,topic_2,1.6669524500270105
61,topic_2,36.67737599526882,topic_9,36.655158132662436,topic_8,3.3338280302224415
62,topic_9,56.923317592176275,topic_8,31.647546707513435,topic_3,1.4289281811173007
63,topic_9,90.99973566735984,topic_6,1.0000872525449205,topic_8,1.0000433260842103
64,topic_9,81.99794124071896,topic_6,2.001359901265281,topic_2,2.000464962786601
65,topic_9,77.49916584335159,topic_1,2.500470672499131,topic_3,2.500308898125551
66,topic_9,87.14214110693511,topic_6,1.4287809038054504,topic_8,1.4287632727560504
67,topic_7,73.94677760206613,topic_9,18.052834802795267,topic_2,1.0001883966517704
68,topic_9,43.66727181624612,topic_6,26.527979464039408,topic_5,18.13654263764239
69,topic_9,81.99921817292201,topic_6,2.00033186549724,topic_5,2.0001522618127705
70,topic_9,88.7495441527295,topic_2,1.2501964739527207,topic_1,1.2501443033452107
71,topic_8,69.99754818347876,topic_7,3.334667111971461,topic_2,3.3344289311683313
72,topic_3,77.49963620283948,topic_8,2.5001806059732314,topic_1,2.500144455964341
73,topic_5,77.49953300982422,topic_8,2.500160667059231,topic_4,2.5001076894021614
74,topic_3,81.99894896278875,topic_9,2.0004316032366307,topic_6,2.000293042251181
75,topic_4,52.51174325529702,topic_1,27.486589939940092,topic_2,2.500936562315101
