index,top_topic_name_1,top_topic_weight_1,top_topic_name_2,top_topic_weight_2,top_topic_name_3,top_topic_weight_3
0,topic_8,82.6030944681575,topic_6,17.39690553184213,topic_2,3.6340654833097605e-13
1,topic_8,79.45041250394229,topic_10,20.54958749605464,topic_7,3.0760229929934734e-12
2,topic_8,34.79187408757317,topic_7,32.72676059875853,topic_1,20.53643575347576
3,topic_1,58.41320728907468,topic_8,30.073848226800898,topic_5,11.512944484124418
4,topic_9,39.825039481543136,topic_2,35.1204330760238,topic_6,25.05452744243307
5,topic_9,99.99999998135523,topic_8,1.7870911015568637e-08,topic_2,7.73862779112151e-10
6,topic_10,55.76531052120389,topic_2,20.78642597050787,topic_5,14.741861272124961
7,topic_2,51.74981697416045,topic_8,32.14561110501663,topic_4,16.104571920822917
8,topic_2,52.12144734936034,topic_9,47.87855265063966,topic_8,9.78579240223121e-20
9,topic_2,58.03805473948305,topic_8,29.10253212529816,topic_3,12.85941261184771
10,topic_9,89.15696729501595,topic_5,10.735933993787972,topic_6,0.10709871119609651
11,topic_6,100.0,topic_1,0.0,topic_2,0.0
12,topic_6,100.0,topic_8,6.731009496665215e-17,topic_7,1.0351703061175131e-36
13,topic_9,99.99411566218228,topic_4,0.005884337817734311,topic_1,0.0
14,topic_5,99.9999998778469,topic_4,1.2215308584015164e-07,topic_2,1.0526564810547959e-14
15,topic_9,99.99212475803685,topic_8,0.00787499994072504,topic_7,2.420224202242767e-07
16,topic_6,85.64411577002855,topic_5,14.355884229966362,topic_8,5.08552179992855e-12
17,topic_8,88.42283534324505,topic_10,11.577164656754947,topic_2,1.8642843321652575e-20
18,topic_8,100.0,topic_1,1.7572951099673112e-25,topic_4,8.1085371297554e-93
19,topic_8,56.36994099171691,topic_7,43.25984483845759,topic_2,0.3702141698254986
20,topic_2,67.05629738543703,topic_3,32.94370261456297,topic_9,2.469687852024974e-22
21,topic_2,99.9999999985052,topic_7,1.4947230691606807e-09,topic_8,7.847251996465205e-14
22,topic_2,100.0,topic_1,0.0,topic_3,0.0
23,topic_5,72.90474685521288,topic_2,27.09525314478712,topic_6,2.249219357228411e-35
24,topic_10,100.0,topic_5,1.1586118003243237e-42,topic_1,0.0
25,topic_4,76.66392782585463,topic_6,23.336072174144867,topic_5,5.1440003149241e-13
26,topic_10,53.72599644778384,topic_2,26.057975105114473,topic_7,20.216028447101692
27,topic_10,99.99999921802257,topic_2,7.819774408570993e-07,topic_1,0.0
28,topic_10,100.0,topic_7,7.650924767943991e-48,topic_1,0.0
29,topic_4,63.92636855860174,topic_7,22.039083105282273,topic_5,14.034548336115979
30,topic_9,52.80382211084161,topic_6,47.196177875920746,topic_2,1.3237659921767706e-08
31,topic_2,71.58588863160641,topic_5,28.414111368393584,topic_1,0.0
32,topic_2,89.21120587378516,topic_9,10.788794126214844,topic_8,2.435469569522748e-67
33,topic_5,68.00780615310522,topic_2,31.99217307020719,topic_3,1.771490688445924e-05
34,topic_2,100.0,topic_3,3.57300403361183e-34,topic_10,8.844921263432826e-47
35,topic_2,100.0,topic_10,1.500346603310409e-27,topic_9,8.906575681469791e-33
36,topic_7,83.67913186969123,topic_9,16.32086813030877,topic_8,1.4439615703894857e-24
37,topic_2,99.99999999999973,topic_8,2.6579484469563747e-13,topic_10,9.3372687651781e-44
38,topic_2,58.64136965543637,topic_8,41.35863034456363,topic_10,5.857015248799507e-20
39,topic_2,80.32221961960032,topic_6,19.677780380399692,topic_9,1.3798242120613613e-20
40,topic_4,34.32083168185375,topic_6,24.40873072860679,topic_5,23.999713862224688
41,topic_2,88.3868335914811,topic_4,11.613166408518882,topic_1,8.637079009734414e-20
42,topic_6,43.10227381799034,topic_2,41.809282959590625,topic_10,15.088414092444303
43,topic_2,77.08585274277061,topic_5,22.91414725722939,topic_10,1.4534544556647227e-21
44,topic_2,48.124572668458036,topic_5,26.385571012912415,topic_8,25.474919954252368
45,topic_10,34.51884243065117,topic_2,34.020376397083,topic_1,20.982910311147425
46,topic_2,40.80550473794112,topic_9,34.84384566506937,topic_3,24.35064953024422
47,topic_2,38.563482009950675,topic_6,33.651337752910365,topic_5,27.785180236202486
48,topic_2,100.0,topic_10,4.126918598557218e-34,topic_7,3.2810769732381944e-42
49,topic_2,64.14019901558825,topic_5,35.85943695519894,topic_3,0.00036402921281158913
50,topic_6,99.99055878343084,topic_9,0.009441205163857243,topic_2,1.1403408077587709e-08
51,topic_6,81.49873441817651,topic_9,18.5012655818235,topic_2,2.3486865156958324e-17
52,topic_2,99.59575592212425,topic_6,0.4042433670081617,topic_8,7.108562572125413e-07
53,topic_9,99.99999999986261,topic_8,1.3729873513364411e-10,topic_10,1.0241027350279405e-13
54,topic_2,74.28107263129682,topic_10,25.718927368703167,topic_4,9.010590225860451e-32
55,topic_7,87.6679396578312,topic_2,12.332060342168797,topic_6,1.190060730833775e-35
56,topic_10,99.70351554286147,topic_3,0.29648445638982107,topic_6,7.487116732379699e-10
57,topic_3,99.99999999999999,topic_1,0.0,topic_2,0.0
58,topic_2,42.10367865310704,topic_8,35.06503699035091,topic_9,22.831284356542046
59,topic_9,50.588910418590345,topic_7,49.411089581409655,topic_5,1.7673974405878327e-46
60,topic_2,51.71551497391934,topic_8,48.28448502608066,topic_1,0.0
61,topic_10,99.99811097373338,topic_6,0.0018890262666194301,topic_2,7.419805774787599e-44
62,topic_10,100.0,topic_3,1.7101758081197377e-47,topic_8,1.9664008722010664e-57
63,topic_10,90.06801596896747,topic_5,9.931977541367797,topic_2,6.489527296041282e-06
64,topic_10,100.0,topic_2,2.161325014240608e-26,topic_9,1.9184511364898588e-35
65,topic_10,60.05220915253354,topic_3,39.947790847466464,topic_1,0.0
66,topic_10,99.9999999981405,topic_8,1.8595018024133201e-09,topic_4,1.9403881615203902e-43
