index,top_topic_name_1,top_topic_weight_1,top_topic_name_2,top_topic_weight_2,top_topic_name_3,top_topic_weight_3
0,topic_8,47.02950812182156,topic_4,20.11804252411204,topic_7,19.60700497547357
1,topic_8,68.58130562509143,topic_9,12.498282838219083,topic_4,9.386915483003818
2,topic_9,32.585941794506034,topic_8,21.73755253520923,topic_3,21.134946449418997
3,topic_2,29.04341537485184,topic_8,22.80454112084836,topic_7,21.057695669591272
4,topic_4,32.61442601410679,topic_8,27.588518116352866,topic_6,9.661190851880528
5,topic_9,43.64944506486385,topic_7,27.57292549163935,topic_4,25.97492771922306
6,topic_9,89.69623462122225,topic_7,10.30376537877775,topic_1,0.0
7,topic_2,55.94114655155061,topic_4,33.5614478584789,topic_9,5.542210752685206
8,topic_2,75.33414383949393,topic_4,9.039125011399705,topic_8,8.756673571579885
9,topic_9,80.40157787439394,topic_4,13.070583024881024,topic_2,6.527839100725043
10,topic_4,47.86012484627729,topic_8,22.334239867637077,topic_2,8.304630207367035
11,topic_4,78.79290492454415,topic_7,7.383510193018052,topic_8,6.796207431000588
12,topic_9,79.63486391435445,topic_5,13.590527262479611,topic_8,3.470959037582741
13,topic_6,99.5123093238996,topic_2,0.4876906761004064,topic_1,0.0
14,topic_6,98.06964930957348,topic_8,1.6574923223229765,topic_4,0.2647436666510519
15,topic_9,41.715833836928205,topic_8,35.82451437940977,topic_2,20.58649627638433
16,topic_5,48.85309266682042,topic_9,22.23106953302161,topic_2,15.622245605900902
17,topic_9,83.41732451338885,topic_8,16.582675486611155,topic_1,0.0
18,topic_6,95.7472923583815,topic_8,3.0597252822414087,topic_4,1.086314203088071
19,topic_8,55.23758193387494,topic_4,31.932988792943718,topic_2,5.197741652217722
20,topic_8,77.66858966542226,topic_4,9.231168472713874,topic_2,7.977010998051621
21,topic_4,74.52820803250025,topic_7,13.072994039134938,topic_8,9.906487239416414
22,topic_9,75.05801291638929,topic_4,20.51777593428894,topic_3,2.937412750838811
23,topic_9,31.619671131409437,topic_4,26.464040956049185,topic_8,16.08607002013857
24,topic_4,99.49444213930067,topic_10,0.5055578606993166,topic_1,0.0
25,topic_9,55.59827648989494,topic_6,26.11096045235772,topic_4,11.255788364748115
26,topic_8,98.89985341756524,topic_1,1.100146582434761,topic_2,0.0
27,topic_5,54.47983999187082,topic_9,24.890368968691785,topic_2,17.746591459560534
28,topic_2,79.22730246199718,topic_5,15.629683660205975,topic_4,3.795246933504442
29,topic_4,52.740054874502846,topic_9,22.65092106077924,topic_2,9.51797493314725
30,topic_2,44.1807810872348,topic_9,23.618369841092107,topic_3,18.91705584793732
31,topic_4,51.29717383314583,topic_9,35.516148300886854,topic_8,10.634803511241495
32,topic_5,92.3074585760678,topic_2,4.807346005503743,topic_9,2.016866805799255
33,topic_9,84.40382381246336,topic_2,8.411438243936335,topic_6,4.852681041660181
34,topic_4,53.33040318031627,topic_9,23.112401512331747,topic_5,10.575430583072176
35,topic_4,71.085884105283,topic_9,28.91411589471701,topic_1,0.0
36,topic_4,24.955359615725012,topic_9,22.077813897799142,topic_8,17.894880619702263
37,topic_4,53.40353331982475,topic_2,21.76694362664897,topic_9,18.692264149424314
38,topic_4,74.4821070374796,topic_9,24.31934274155424,topic_2,1.1985502209661634
39,topic_7,32.52272303193901,topic_4,23.239510971562364,topic_9,22.993750393560237
40,topic_4,59.78229066056125,topic_2,20.830799862414025,topic_8,17.341390755260065
41,topic_8,49.25179091499291,topic_4,20.63728700328353,topic_9,17.778294866766487
42,topic_4,39.61985808120943,topic_9,32.782120137799296,topic_2,11.94645706417777
43,topic_6,54.73684189285864,topic_2,36.85882177964061,topic_9,8.229452977161472
44,topic_2,87.82867532959314,topic_4,10.78617205130744,topic_1,0.872908734252669
45,topic_4,57.18699488318247,topic_7,18.47899047879263,topic_2,9.453107285522824
46,topic_4,50.04169579342957,topic_9,16.879837275039336,topic_2,16.647859272152022
47,topic_4,69.13820047308451,topic_5,13.227911250168662,topic_8,12.161212996467142
48,topic_2,71.37518431230069,topic_4,25.977029784375468,topic_8,1.3845323453074885
49,topic_9,52.22563274315329,topic_4,15.64626419875531,topic_2,11.819893829385649
50,topic_4,78.95198014394079,topic_5,8.711369969987729,topic_6,3.5733112217546656
51,topic_4,99.41498143183186,topic_6,0.5850185681681481,topic_1,0.0
52,topic_5,27.17702437109789,topic_4,26.576535704504604,topic_8,17.03853880321156
53,topic_6,66.8819449941208,topic_9,26.021291468140703,topic_2,2.591443866102689
54,topic_6,60.33441463951479,topic_9,37.28576624203928,topic_4,2.1513298773808125
