topic_1_weights,topic_1_words,topic_2_weights,topic_2_words,topic_3_weights,topic_3_words,topic_4_weights,topic_4_words,topic_5_weights,topic_5_words,topic_6_weights,topic_6_words,topic_7_weights,topic_7_words,topic_8_weights,topic_8_words,topic_9_weights,topic_9_words,topic_10_weights,topic_10_words
4.3632526037741637e-35,actions,2.008134887158908e-32,actions,6.620669600808538e-33,actions,2.1415952213185747e-29,actions,1.0746277074628389e-30,actions,1.987714440676791e-33,actions,1.0359438681520116e-33,actions,2.8477823001585505e-32,actions,1.1859399334458306e-18,actions,1.9876444949478008e-33,actions
9.484027321473148e-36,activities,5.273749324747968e-32,activities,0.0394993991698043,activities,0.042943496934657,activities,1.8552941944254824e-33,activities,1.9947803819711232e-33,activities,1.925066067566432e-33,activities,0.0167022438148238,activities,3.194957107577386e-32,activities,7.192362249090031e-33,activities
9.261770462068743e-35,activity,0.0143857360513361,activity,1.8815293937711733e-33,activity,0.0163912919180654,activity,0.0099338605573056,activity,0.013203098897673,activity,1.2243333781970207e-27,activity,1.3161367586567084e-32,activity,0.0135066852646218,activity,1.9995333037781545e-33,activity
0.053987075394967,actor,6.074627249918265e-33,actor,1.98765878083792e-33,actor,6.64236611262006e-33,actor,3.009367544577725e-33,actor,1.0060688076368557e-32,actor,1.9884627593253126e-33,actor,1.9763970396801208e-33,actor,5.944118914895084e-20,actor,1.0586691582228329e-33,actor
0.0618119964859243,actress,1.9855576291261986e-33,actress,1.5093776931821126e-34,actress,1.9871672911352138e-33,actress,1.986889921712948e-33,actress,4.7428116853068765e-35,actress,1.9875459904240266e-33,actress,1.9736285374320864e-33,actress,1.9871045613353092e-33,actress,1.0044116690721473e-33,actress
8.568099581649107e-36,acts,2.8169901462574373e-12,acts,1.887362143256837e-33,acts,0.0296864172006543,acts,1.9515880915037626e-33,acts,1.709578784015016e-32,acts,0.0191124055165122,acts,1.6760864099442118e-33,acts,7.007986442525529e-33,acts,2.003379042294596e-33,acts
6.999307906567859e-36,actual,4.37547407571519e-33,actual,1.987254163800115e-33,actual,1.9904116342016738e-33,actual,3.1469670493113676e-33,actual,9.231049129935178e-27,actual,1.9879025248459908e-33,actual,9.348520926386624e-26,actual,5.7128203079851926e-33,actual,1.987284460906468e-33,actual
7.58980387313225e-35,actually,0.0246768894122125,actually,2.0094563079391505e-11,actually,4.108082007740336e-12,actually,1.4676289506213262e-31,actually,4.010553860798295e-34,actually,2.0534447392455206e-26,actually,0.0202735920785768,actually,0.0444056274364451,actually,2.15450837545317e-32,actually
7.275299756852486e-35,administration,1.2606531926046034e-31,administration,1.987463302927608e-33,administration,4.489686837467711e-25,administration,1.3229300577410221e-33,administration,8.857897024633366e-34,administration,8.962759129238413e-33,administration,1.3772407448799499e-16,administration,1.7640531460095774e-14,administration,2.027021729611545e-33,administration
4.217232196426655e-36,advance,1.4219821994914423e-32,advance,1.9551168220530208e-33,advance,0.0110655233436234,advance,2.0919372395740244e-33,advance,1.979782846356253e-33,advance,1.980608370831777e-33,advance,1.833409571959713e-33,advance,1.830178586108103e-33,advance,4.286400846757567e-33,advance
1.0007129263136808e-35,advanced,0.0010912075363927,advanced,1.9642330563450002e-33,advanced,1.234033261436353e-28,advanced,1.9728809025159343e-33,advanced,9.969911935577512e-34,advanced,6.890200244439598e-35,advanced,1.944560540543199e-33,advanced,0.0093249555189272,advanced,2.023069996190136e-33,advanced
