top_topic_name_1,top_topic_weight_1,top_topic_name_2,top_topic_weight_2,top_topic_name_3,top_topic_weight_3
topic_8,82.39111821986769,topic_6,17.608559682301756,topic_1,0.0003220966638794769
topic_8,80.12792178535429,topic_10,19.872078214645715,topic_9,1.1391382593251975e-18
topic_8,56.22280300572948,topic_1,25.615459102965314,topic_7,18.159738900933814
topic_1,71.85796450626471,topic_8,28.113191110414444,topic_2,0.028286611048824004
topic_9,76.15205615356683,topic_6,23.84794368685203,topic_2,1.5957734987403003e-07
topic_9,99.99991708587135,topic_8,7.97497289787723e-05,topic_2,3.1643607913469535e-06
topic_10,77.9681602117615,topic_5,13.718015225081242,topic_4,8.313617387284317
topic_2,51.605490126071686,topic_8,31.99627909436525,topic_4,16.398230779291215
topic_2,76.92779457041851,topic_9,23.07181977512055,topic_8,0.0003167366057849731
topic_2,65.80249236964862,topic_8,20.556302357023363,topic_3,13.635116448476571
topic_9,87.46644772434217,topic_5,10.524657142541859,topic_10,2.008810132428165
topic_6,100.0,topic_1,0.0,topic_2,0.0
topic_6,99.99999999999876,topic_2,1.2443522832175722e-12,topic_7,1.6033967408234117e-22
topic_9,99.99983888920669,topic_8,0.0001611107933125859,topic_2,6.505907408186096e-23
topic_5,99.40331490636792,topic_9,0.5966850873920176,topic_4,6.240036287314011e-09
topic_9,94.96877758007709,topic_8,5.031171725886557,topic_7,5.069403635430541e-05
topic_6,99.9999999731573,topic_5,2.419378174135523e-08,topic_8,2.6433256779028734e-09
topic_8,88.79700274603438,topic_10,11.167196657170452,topic_2,0.03580054275711508
topic_8,99.99999999999547,topic_1,4.551654787526031e-12,topic_6,4.58412184635813e-57
topic_7,99.99719902038827,topic_2,0.002200262687486395,topic_10,0.000600716924254923
topic_2,52.32406115637143,topic_3,47.6759388411987,topic_9,2.4298934274283285e-09
topic_2,80.31044764582984,topic_4,19.689501755058387,topic_8,4.894481982256836e-05
topic_2,100.0,topic_1,0.0,topic_3,0.0
topic_9,69.33169391213383,topic_2,30.664878687771562,topic_5,0.0034273986272794887
topic_10,100.0,topic_5,1.435989233103919e-17,topic_1,0.0
topic_4,76.8077877054571,topic_6,23.192212290473396,topic_5,4.022244618421358e-09
topic_2,40.887013344045435,topic_10,39.21646032146264,topic_7,19.89652633449192
topic_10,69.80462857401555,topic_4,30.195371425984447,topic_1,0.0
topic_10,99.99999999999982,topic_7,1.770756575739459e-13,topic_2,2.280302533600548e-15
topic_4,66.02015839492167,topic_7,19.854416382490157,topic_5,14.12542522258819
topic_9,56.289647935696394,topic_6,43.71035173364846,topic_5,3.2742585611491147e-07
topic_5,51.84160757009619,topic_2,48.15839242847488,topic_7,1.428927248322181e-09
topic_2,91.88893177203472,topic_9,8.111068227965283,topic_8,5.830188798783451e-29
topic_2,70.0917388716382,topic_10,27.381476991844906,topic_3,2.5220613945378116
topic_2,99.99999999996253,topic_7,3.747352525269788e-11,topic_9,4.903643361320291e-18
topic_2,99.9999996915115,topic_10,3.0848849577659186e-07,topic_9,2.0165423873958974e-15
topic_7,73.69988486463411,topic_9,26.300114794990126,topic_5,3.2967628440013947e-07
topic_2,99.9999999997687,topic_3,1.3771857154329641e-10,topic_8,9.356102590827893e-11
topic_2,72.82618984670222,topic_8,27.152421236284315,topic_10,0.02138891699978136
topic_2,82.32658407032919,topic_6,17.67341476619541,topic_9,1.1624546464881348e-06
topic_5,56.84991290916351,topic_4,26.68244874980293,topic_6,12.240667582148562
topic_2,88.4235263642925,topic_4,11.57647362835376,topic_1,7.353752246573191e-09
topic_2,51.09188070947887,topic_6,34.39890332253285,topic_10,14.509036314471848
topic_2,99.9999999999471,topic_5,5.2826380272012526e-11,topic_10,8.872919295011727e-14
topic_2,46.331547521064884,topic_5,29.18058357782808,topic_8,24.48785459139806
topic_2,32.557797723765795,topic_10,31.567628851107674,topic_1,25.6357502064796
topic_4,49.27618324514792,topic_2,30.91797880757358,topic_3,11.72658754279635
topic_5,51.68738447879945,topic_6,31.246484772192492,topic_2,17.066120843438735
topic_2,78.6194111809114,topic_5,21.380587750278742,topic_9,1.0688095807533999e-06
topic_2,71.36319827429917,topic_5,28.63679827859287,topic_3,3.432024863518655e-06
topic_6,99.99998764976166,topic_9,1.2350207041676569e-05,topic_2,3.126416693085382e-11
topic_6,74.58617902932149,topic_9,25.413820593321425,topic_2,3.7541869630176135e-07
topic_7,43.38527366858597,topic_2,32.16988323937477,topic_6,24.44484282215166
topic_9,99.9999332089911,topic_6,5.931175571097327e-05,topic_8,7.479095783627032e-06
topic_2,99.99999998675341,topic_10,1.3246454799058028e-08,topic_4,1.281863023141542e-13
topic_5,54.791501147966706,topic_2,45.20849885200875,topic_7,2.4553127673466932e-11
topic_10,99.53118341589989,topic_3,0.46815588057340124,topic_6,0.0006606986186680507
topic_3,100.0,topic_1,0.0,topic_2,0.0
topic_2,54.90238835638053,topic_8,35.59813149606211,topic_9,9.499480147557355
topic_9,74.32897353114281,topic_7,25.67102646885719,topic_1,0.0
topic_2,51.5056525758465,topic_8,48.49434742415349,topic_1,0.0
topic_10,99.97424637175511,topic_6,0.02575362824398526,topic_2,8.990162916352767e-13
topic_10,100.0,topic_8,1.0392042088288942e-17,topic_2,6.892614677582034e-29
topic_10,64.59800227053056,topic_4,26.60495541836796,topic_5,8.76791289414315
topic_10,99.999999999995,topic_9,5.000729556342032e-12,topic_2,6.500883098109715e-15
topic_10,57.73265821588295,topic_3,42.26734178411705,topic_1,0.0
topic_10,99.99997157284427,topic_8,2.8423639768582287e-05,topic_3,3.5159443331234867e-09
topic_10,99.99992469033197,topic_4,7.490287556626201e-05,topic_5,3.7970478995455054e-07
topic_10,99.99999908551568,topic_2,9.144803506544637e-07,topic_9,3.958325668577289e-12
topic_10,100.0,topic_1,0.0,topic_2,0.0
topic_10,99.73347403622964,topic_1,0.26652341405343416,topic_8,2.521893981961106e-06
topic_4,50.03549473836756,topic_6,49.96450526163244,topic_1,0.0
topic_4,100.0,topic_1,0.0,topic_2,0.0
topic_8,99.99999435011694,topic_5,5.639696605688581e-06,topic_10,9.13753653191128e-09
topic_5,99.9999999999634,topic_10,3.6473436909743084e-11,topic_6,1.2296813672953547e-13
topic_2,100.0,topic_9,1.4383759450201666e-16,topic_8,2.746522780677752e-31
topic_9,29.273223229216452,topic_2,25.38310254446454,topic_4,24.790800187690433
topic_9,48.393918626384355,topic_2,22.83949616108989,topic_4,16.72689887105307
topic_2,69.91533953077779,topic_4,18.116468996174863,topic_8,6.020217509878331
topic_3,99.99995348999907,topic_2,4.6509991644040914e-05,topic_7,9.040901351131037e-12
topic_2,70.20088782665157,topic_6,20.010979040908342,topic_4,9.785475586098027
topic_2,99.9999999999986,topic_10,1.3645260848474525e-12,topic_8,4.648599523971343e-14
topic_2,57.15444896531601,topic_6,23.034169361451017,topic_7,19.811381673232923
topic_2,99.99995357954924,topic_5,4.640620938072115e-05,topic_8,1.4241377440005888e-08
topic_3,99.99938941395888,topic_7,0.0006105478281340661,topic_5,2.9676810346267708e-08
topic_2,99.99999999999397,topic_5,5.827741752254754e-12,topic_7,1.5596106870841374e-13
topic_8,80.50206337458434,topic_2,11.217620130912355,topic_5,8.280316458036479
topic_8,67.98724831616373,topic_2,23.93759321268663,topic_5,8.075158466191786
topic_9,99.96143835575073,topic_8,0.03856151218701373,topic_2,1.2111183777431604e-07
topic_9,99.99992279948503,topic_4,7.720051495045593e-05,topic_2,1.8128609349175013e-14
topic_3,52.3718518376783,topic_2,16.973445363580325,topic_9,12.45822427399566
topic_10,53.36399964363356,topic_2,46.63599962995458,topic_1,7.264089264921292e-07
topic_9,69.96725912568886,topic_1,19.097859981020715,topic_2,10.934596674716582
topic_3,49.56300202051969,topic_9,37.76425894739701,topic_5,6.611932572290766
topic_9,65.11503357382384,topic_2,29.41088117332646,topic_4,5.47408525284656
topic_7,74.89943031786731,topic_3,24.968921081158395,topic_6,0.13164860097428482
topic_3,100.0,topic_1,0.0,topic_2,0.0
topic_9,75.04011071131781,topic_6,16.67042250714181,topic_2,8.289466781540376
topic_6,88.05057740798779,topic_2,11.949422592012121,topic_9,9.972016870502051e-14
topic_8,44.569849414192134,topic_10,41.96255549203172,topic_2,13.467542053465277
topic_8,99.99341392185414,topic_7,0.006586078145861983,topic_1,0.0
topic_9,100.0,topic_2,7.668843719241616e-16,topic_1,0.0
topic_1,,topic_2,,topic_3,
topic_9,99.99999999999999,topic_2,9.568869939797098e-15,topic_10,4.431253467869219e-23
topic_9,76.11314011178729,topic_6,23.886859876208717,topic_1,1.2003996761372575e-08
topic_9,100.0,topic_1,0.0,topic_2,0.0
topic_9,91.42469248055077,topic_2,8.574966292528098,topic_1,0.0003412268765172627
topic_5,42.36033945425845,topic_9,33.081479292366446,topic_7,24.55817476067417
topic_2,72.95512146196806,topic_8,27.044544972466074,topic_7,0.0002709603753151131
topic_1,49.74486781973578,topic_8,36.99560205413334,topic_9,13.259530126031345
topic_6,58.45292224360815,topic_2,27.706489225215332,topic_9,13.840262645597296
topic_7,84.07346955021559,topic_6,15.926530337050288,topic_2,1.1273412230708362e-07
topic_10,88.09940219701072,topic_9,11.900597802989282,topic_5,5.854837924403934e-224
topic_9,99.99999999999876,topic_10,1.0718113893723232e-12,topic_8,1.681999663873649e-13
topic_6,99.85529589660271,topic_10,0.1390941441627621,topic_3,0.005572692985016166
topic_9,99.99999222464372,topic_2,7.775356288865494e-06,topic_1,0.0
topic_3,74.0174452274556,topic_9,17.819827611571647,topic_5,8.110678788663064
topic_9,63.960692396755,topic_8,19.790462767919664,topic_6,16.24884483532534
topic_9,70.15012954383512,topic_6,29.849870456164894,topic_4,4.3685370649117057e-16
topic_8,74.30557920627287,topic_2,25.687996646391788,topic_9,0.006404800643387777
topic_10,37.757024256286684,topic_9,31.874312619153027,topic_8,30.368663027178933
topic_6,38.92678935329685,topic_4,28.49829801605728,topic_9,16.789260090700868
topic_9,42.790822987345706,topic_2,37.735851233495964,topic_8,19.22715060714032
topic_4,99.99999999999896,topic_8,9.971221345949166e-13,topic_6,3.109709684755819e-14
topic_7,80.53263955789481,topic_9,19.46736044210511,topic_2,8.743487623140367e-14
topic_9,68.8772322990605,topic_4,31.06103149309628,topic_8,0.06173620783181727
topic_10,55.706741905531416,topic_9,44.26445936143853,topic_3,0.028796625635708627
topic_9,64.94729388558626,topic_8,35.052706114413745,topic_1,0.0
topic_8,98.49122231623217,topic_6,1.5087758860951366,topic_3,1.7976718451769827e-06
topic_8,99.99999999999997,topic_1,2.899254695546302e-14,topic_2,8.997431729744986e-16
topic_4,100.0,topic_1,0.0,topic_2,0.0
topic_8,53.741101151180196,topic_2,41.8530249999086,topic_3,4.4058738417504
topic_8,99.99999999999991,topic_9,4.547887185111773e-14,topic_6,3.3836213232838024e-14
topic_8,79.34343042580552,topic_5,20.65656925764626,topic_7,3.165482367917802e-07
topic_8,100.0,topic_1,0.0,topic_2,0.0
