index,top_topic_name_1,top_topic_weight_1,top_topic_name_2,top_topic_weight_2,top_topic_name_3,top_topic_weight_3
0,topic_8,79.703339710724,topic_7,16.867819989154476,topic_4,3.4282819016789583
1,topic_8,99.996167937608,topic_9,0.003089054612293119,topic_4,0.0007429886151715097
2,topic_4,98.93233430251124,topic_9,0.6698904457185663,topic_3,0.39768065339691383
3,topic_2,99.9854914868391,topic_1,0.014508513028235272,topic_7,1.2426252796286797e-10
4,topic_4,97.27598402228992,topic_1,2.418810806309476,topic_2,0.18044628256246908
5,topic_9,44.25710388528118,topic_7,31.314434227437662,topic_4,24.428461887279646
6,topic_9,99.99983732686395,topic_7,0.00016267313602372845,topic_4,4.846182922709885e-15
7,topic_2,65.20071033433923,topic_4,33.12743544119545,topic_9,1.1084666740705713
8,topic_2,99.99999707216293,topic_4,2.542613980183069e-06,topic_5,3.8522306082839154e-07
9,topic_9,99.01974394130939,topic_4,0.936577694087016,topic_2,0.04367836460358351
10,topic_4,99.9812446264781,topic_8,0.018613656786537695,topic_9,0.0001416101757568816
11,topic_4,99.97769793494768,topic_9,0.018385408704292873,topic_8,0.0038152699161561796
12,topic_9,89.68428396481603,topic_5,8.759033265643,topic_4,1.5530907690500717
13,topic_6,100.0,topic_2,7.86911213894769e-17,topic_5,4.0671059738332407e-76
14,topic_6,99.99999999759484,topic_8,2.405157539664979e-09,topic_5,3.4063079468600403e-78
15,topic_9,99.24303878871378,topic_2,0.7352192424469678,topic_8,0.021741968839248157
16,topic_5,80.60468974740327,topic_2,16.629276410167336,topic_9,2.7657853876376333
17,topic_9,90.24012014209185,topic_8,9.759879857908148,topic_4,3.4599064002073593e-17
18,topic_6,99.99999999637261,topic_8,3.6274018767203875e-09,topic_1,1.8298317135379096e-28
19,topic_8,57.88419773043929,topic_4,41.14038404485847,topic_2,0.975415120984404
20,topic_8,99.99999244236477,topic_2,7.5563398593919525e-06,topic_1,6.664100024955466e-10
21,topic_4,99.99999999999976,topic_7,2.296294937692075e-13,topic_8,4.607681002972428e-52
22,topic_9,81.26027215022047,topic_4,18.73926477005405,topic_2,0.00046307972548931595
23,topic_4,85.03612095421818,topic_2,13.528391218766247,topic_9,1.435288676735323
24,topic_4,100.0,topic_1,0.0,topic_2,0.0
25,topic_9,86.69988889295732,topic_4,13.254579245107406,topic_6,0.04553185615144501
26,topic_8,100.0,topic_9,6.296859924299602e-15,topic_1,5.064087963451821e-25
27,topic_5,99.99999999999999,topic_9,8.369902179667668e-24,topic_2,3.934529555516703e-33
28,topic_2,90.30968423024125,topic_5,9.33118685349457,topic_4,0.35910757966670753
29,topic_4,97.23587668778649,topic_9,2.7639129324458103,topic_2,0.00020826467573836373
30,topic_2,99.99998054221852,topic_3,1.945666570757435e-05,topic_4,1.1157492855063483e-09
31,topic_4,81.29778205646757,topic_9,18.702074106096465,topic_8,0.00014383743597152146
32,topic_5,99.90768293459308,topic_2,0.0923170654054877,topic_9,1.41235194781883e-12
33,topic_9,99.93974925519261,topic_2,0.060250707788092314,topic_4,3.701928416467297e-08
34,topic_4,93.19639449008442,topic_9,6.802647743087026,topic_5,0.0009577668281202299
35,topic_4,69.5831562133682,topic_9,30.416596262674467,topic_2,0.0002475239573195797
36,topic_4,91.87180895881112,topic_5,7.755381490691031,topic_9,0.3726313875822747
37,topic_4,99.9985861966936,topic_2,0.0014138033063167638,topic_8,8.834190148893741e-14
38,topic_4,78.82228185716362,topic_9,21.177712797068708,topic_2,5.345767682453254e-06
39,topic_7,99.98840505105207,topic_5,0.011411351967737123,topic_4,0.00017764415301685312
40,topic_4,100.0,topic_2,3.1432040772346668e-18,topic_8,6.252430600020769e-19
41,topic_8,99.95638439255306,topic_9,0.031165814441307046,topic_4,0.012449778565785656
42,topic_4,69.09897161306094,topic_9,30.89907699711548,topic_7,0.001948460215209229
43,topic_6,57.7634291510382,topic_2,36.154218379839605,topic_9,6.082352103235105
44,topic_2,99.99957020528839,topic_4,0.00042907189574745136,topic_1,7.228158553062158e-07
45,topic_4,88.53867843526562,topic_7,11.46132156473411,topic_6,2.3501973690536664e-13
46,topic_4,99.99986052503787,topic_5,0.0001393306952204721,topic_2,1.4042825308083538e-07
47,topic_4,88.70488623806696,topic_5,8.206635339587223,topic_8,3.088166118714827
48,topic_2,79.16296755948046,topic_4,20.832712538913274,topic_1,0.004319901606251768
49,topic_9,87.96346703419604,topic_4,9.489442596615069,topic_2,2.5470518837612275
50,topic_4,96.87497904021419,topic_5,3.124577313056584,topic_8,0.0004282805302742178
51,topic_4,100.0,topic_8,5.5180198778788095e-15,topic_6,9.558100861353356e-21
52,topic_5,69.36680839574785,topic_4,30.036069999687037,topic_8,0.5504909064142954
53,topic_6,79.18226382905318,topic_9,20.222998268666338,topic_4,0.58367345901906
54,topic_6,66.47034675337683,topic_9,33.110390484553214,topic_4,0.4192607592852736
55,topic_4,100.0,topic_7,1.872788301197149e-16,topic_8,4.314102297342296e-27
56,topic_9,93.37103184544765,topic_4,5.923888495262994,topic_8,0.7043860003546989
57,topic_4,99.97005046621801,topic_9,0.029949533781772657,topic_2,2.3147497929688816e-13
58,topic_4,99.99999999998501,topic_7,9.709729872362869e-12,topic_5,5.280227711525916e-12
59,topic_4,77.1349782789165,topic_9,22.828687946278404,topic_3,0.03631846613811145
60,topic_3,100.0,topic_1,0.0,topic_2,0.0
61,topic_2,68.63473018382207,topic_4,31.323948462033798,topic_9,0.016796942677968926
62,topic_9,99.99950209921818,topic_7,0.0004979007818328563,topic_4,1.3696901133273418e-57
63,topic_4,100.0,topic_8,1.9830927825391503e-15,topic_2,5.212784325119835e-85
64,topic_4,99.99999999701875,topic_3,2.0757378930062796e-09,topic_2,9.055083184756693e-10
65,topic_8,99.95064239595322,topic_9,0.04935760404678314,topic_4,3.7183830349094205e-45
66,topic_5,60.1106696783285,topic_4,39.88890735235767,topic_8,0.0004207670177364362
67,topic_9,100.0,topic_8,4.309132139265912e-106,topic_3,4.879270938770641e-162
68,topic_3,99.9999999713006,topic_5,2.8699407180512848e-08,topic_1,0.0
69,topic_8,100.0,topic_9,2.12000262077609e-21,topic_2,4.557916208496929e-77
70,topic_9,99.99999999094972,topic_2,9.050260620135266e-09,topic_5,1.4505107506955516e-14
71,topic_2,99.99999999993994,topic_4,6.006293068597754e-11,topic_9,9.593265695948012e-218
72,topic_2,99.99999999911903,topic_4,8.809693108249676e-10,topic_8,7.400186691638365e-74
73,topic_4,99.97145145466307,topic_1,0.028547701630989315,topic_6,7.767851350949893e-07
74,topic_2,100.0,topic_9,1.1120642528177208e-129,topic_1,0.0
75,topic_2,95.64630313363156,topic_3,2.3438708482081836,topic_5,2.0098260181602585
76,topic_8,99.99999999999994,topic_4,5.079867105708358e-14,topic_2,9.487687961608658e-54
77,topic_6,99.99999999637122,topic_9,3.5188805460202723e-09,topic_5,1.0991343686428561e-10
78,topic_4,99.99999999999999,topic_9,1.0164569530889296e-14,topic_8,3.5154499170824236e-27
79,topic_2,64.95233466581493,topic_9,26.479192202911925,topic_4,5.961654859815529
80,topic_2,56.50744685089993,topic_9,38.847961371316096,topic_4,4.644591777775947
81,topic_9,78.46033218997323,topic_4,19.114566342421085,topic_5,1.092962377994968
82,topic_3,99.84040870087789,topic_4,0.1595911160650199,topic_8,1.2259073009086092e-07
83,topic_4,55.84194858689413,topic_2,35.34243263167372,topic_9,8.815618781432148
84,topic_4,99.99999939381235,topic_9,6.044819242105738e-07,topic_2,1.6904031373764786e-09
85,topic_4,95.99236408891517,topic_2,4.007631128051064,topic_5,4.78303376899207e-06
86,topic_4,96.99972325196488,topic_8,1.8558799711604954,topic_2,1.1443967762987381
87,topic_3,88.5202751766803,topic_5,4.637566680340832,topic_7,3.5673846671725595
88,topic_4,99.99997707038612,topic_5,2.2721575460296502e-05,topic_7,1.7477414349695488e-07
89,topic_8,95.02201604107842,topic_5,1.931846284333654,topic_2,1.4841852127772046
90,topic_8,87.72556084381316,topic_4,8.85131419270824,topic_5,1.6232948669170069
91,topic_9,93.50609233387392,topic_4,6.480643853438792,topic_2,0.013256770765548955
92,topic_9,99.98556527994019,topic_2,0.014434714689488846,topic_5,5.3692190645206075e-09
93,topic_4,36.80060914940362,topic_9,27.24586292299312,topic_2,16.362810453458437
94,topic_4,58.58161435055974,topic_9,41.33283296213994,topic_2,0.0855320944001097
95,topic_9,95.75248173242156,topic_4,2.2748383563332912,topic_1,1.7503369801267301
96,topic_9,91.88679728735053,topic_3,4.395640688103148,topic_5,3.6326823580402263
